name,patent_count
"SAMSUNG DISPLAY CO., LTD.",1538
International Business Machines Corporation,1304
CANON KABUSHIKI KAISHA,788
SONY GROUP CORPORATION,526
Fujitsu Limited,474
Intel Corporation,457
Kabushiki Kaisha Toshiba,445
General Electric Company,436
LG ELECTRONICS INC.,414
MITSUBISHI ELECTRIC CORPORATION,385
