name,patent_count
Shunpei Yamazaki,53
Kia Silverbrook,38
Tao Luo,35
Junyi Li,28
Kangguo Cheng,24
Chen-Hua Yu,23
Peter Gaal,21
Jonathan P. Ive,19
Esmael Hejazi Dinan,18
Duncan Robert Kerr,17
